Dedy Aulia,b'@CNNIndonesia Uang dana pemilu aja pikirin'
Nur Oktavia III,"b'RT @89Kul: itu ""Relawan"" fungsinya apa \xe2\x81\x89\xef\xb8\x8f\nbukankah hanya menimbulkan efek ""polarisasi"" pd masyarakat \xe2\x81\x89\xef\xb8\x8f\nSeorang ""Presiden"" Gak Paham ""Tenta\xe2\x80\xa6'"
Deny Ichfransyuri,"b'RT @tifsembiring: Menyulut TEMPUR mah gampang, mas. Bahannya banyak. Yang sulit itu, upaya2 menyatukan keragaman anak bangsa ini, dan tetap\xe2\x80\xa6'"
yuns_yunand,"b'RT @DPP_PPP: Sowan ke Rais PBNU, Plt Ketua Umum PPP H. Muhamad Mardiono Minta Nasihat untuk PPP Jelang Pemilu\n\n#PartaiPPP\nhttps://t.co/OvPp\xe2\x80\xa6'"
edhar_spider,b'@alisyarief Knapa ga buat PARTAI\nAgar bisa memenangkan kontestasi PEMILU  \xe2\x9d\x93\nuntuk membuktikannya  !!!'
Tribunnews Wiki,b'Survei yang dilakukan lembaga Charta Politika menghasilkan mayoritas responden tidak setuju wacana Joko Widodo menjadi calon wakil presiden (cawapres) dalam Pemilihan Umum (Pemilu) 2024.\n\nhttps://t.co/DRdqaKjmYj'
Johan Woda,"b'RT @aan_muba: Walau hanya survei tapi @PDI_Perjuangan tetap harus waspada.\n\n87,5% Pendukung Tetap Dukung Ganjar Nyapres Meski Tak Diusung P\xe2\x80\xa6'"
ti a 🤡,b'RT @ConversationIDN: (Wahai ASN)\nNever never want you...\nReally really love you...\n\nhttps://t.co/1xnnNUxVXM https://t.co/bHav62jKBX'
ceriaselalu😍🇮🇩,"b'RT @aan_muba: Walau hanya survei tapi @PDI_Perjuangan tetap harus waspada.\n\n87,5% Pendukung Tetap Dukung Ganjar Nyapres Meski Tak Diusung P\xe2\x80\xa6'"
"Ghiffary,s","b'RT @Utero2022: Dr. KH. Haedar Nashir :\n\nPak Jokowi, negara seharusnya jadi penyelenggara pemilu bukan pemain, apalagi terlibat kontestasi P\xe2\x80\xa6'"
#SAVEANIESBASWEDAN#KamiBersamaOrgBaik,b'RT @UyokBack: Kabar baiknya..\nJokowi sudah wanti-wanti jangan ada yang adu domba jelang pemilu.\n\nKabar buruknya..\nYang ngomong Jokowi.'
ERA NEW SAHIN,"b'RT @ZAEffendy: Kemarin: ""Jangan ada yang Adu Domba jelang Pemilu""\n\nSehari sebelumnya:\n(ke Relawan) ""... Dik\xc3\xa8nc\xc3\xa8ngin"" ?!\n\n#Nalar \xf0\x9f\x99\x84'"
"Ghiffary,s","b'RT @89Kul: itu ""Relawan"" fungsinya apa \xe2\x81\x89\xef\xb8\x8f\nbukankah hanya menimbulkan efek ""polarisasi"" pd masyarakat \xe2\x81\x89\xef\xb8\x8f\nSeorang ""Presiden"" Gak Paham ""Tenta\xe2\x80\xa6'"
🇮🇩 CC22 🇮🇩,b'@firzahusainInc @3082Ardian \xf0\x9f\x98\x82Takut Pemilu 2024. Dah gitu ajah.'
Aditya Sani,b'Kepala BNPT : Waspadai Ancaman Intoleransi Jelang Pemilu\xc2\xa02024 https://t.co/wtrGn9mxbd'
BRIEF.id,b'Kepala BNPT : Waspadai Ancaman Intoleransi Jelang Pemilu\xc2\xa02024 https://t.co/BT0gI4BYYO'
Anti Anticritic,"b'RT @tribungugur: Sejuta pemilu tak akan pernah memperbaiki nasib sepak bola kami; nasib Aremania; adik, kakak, ayah, mama, dan sanak yang g\xe2\x80\xa6'"
Anang,b'RT @seanC37866888: 1. \nRAPATKAN BARISAN LAWAN PKI!\n\nPemilu kali ini adlh pertempuran ideologi PKI melawan ideologi Pancasila\n\nPDIP yg ingin\xe2\x80\xa6'
elank14,"b'Kuncinya masih di Gus Muhaimin ( PKB)\n\nkalau PS dg GP...masih diskusi dulu siapa capresnya, nunggu restu PDIP mau nggak nyapreskan GP.\n\nbanyak yg ngintip kapan PKB-GERINDRA Pegatan, kalau pegatan berubah peta koalisi ini.\n\nhttps://t.co/DOar9B1Me0'"
MichelAdam5_,"b'RT @PutunMy: Jokowi Kumpul Relawan di GBK, Benny K Harman: Dukungan 3 Periode atau Tunda Pemilu Kah?\n#JokowiTakutDimakzulkan\n#JokowiTakutDi\xe2\x80\xa6'"
John Damanik,"b'RT @aan_muba: Walau hanya survei tapi @PDI_Perjuangan tetap harus waspada.\n\n87,5% Pendukung Tetap Dukung Ganjar Nyapres Meski Tak Diusung P\xe2\x80\xa6'"
HabibHuraHura🤪🤭Hnya3,"b'RT @musniumar: Apa tidak ada yg baik pejabat Jakpro? Mengapa mereka semua dihabisi? Sebagai sosiolog, saya khawatir jelang pemilu 2024,  te\xe2\x80\xa6'"
HabibHuraHura🤪🤭Hnya3,b'Hubungannya dengan Sosiolog apaan Mar @musniumar kaitannya dng pencopotan direksi Jakpro dan pemilu 2024? https://t.co/AJVuQsxyTJ'
Tiwik 💕,"b'RT @89Kul: itu ""Relawan"" fungsinya apa \xe2\x81\x89\xef\xb8\x8f\nbukankah hanya menimbulkan efek ""polarisasi"" pd masyarakat \xe2\x81\x89\xef\xb8\x8f\nSeorang ""Presiden"" Gak Paham ""Tenta\xe2\x80\xa6'"
Dodi Sujadi Latief,"b'RT @yashudha_naka: POLITIK IDENTITAS DI LARANG,\nSEMENTARA MEREKA MENJELANG PEMILU RAME2 PAKE PAKAIAN MUSLIM.\n\nMUSLIM BERSATU, KOMUNIS PANIK\xe2\x80\xa6'"
Tiwik 💕,"b'RT @Utero2022: Dr. KH. Haedar Nashir :\n\nPak Jokowi, negara seharusnya jadi penyelenggara pemilu bukan pemain, apalagi terlibat kontestasi P\xe2\x80\xa6'"
akbar genza,"b'RT @ForRezim: Politik identitas boleh saja jk itu identitas asli. Contoh: Saya muslim, mk saya tampilkan identitas sbg muslim.\nYg tak boleh\xe2\x80\xa6'"
Namanya Putera II,b'RT @CNNIndonesia: Jokowi Wanti-wanti Jangan Ada yang Adu Domba Jelang Pemilu https://t.co/71owdLCsCn'
There,"b'RT @PutunMy: Jokowi Kumpul Relawan di GBK, Benny K Harman: Dukungan 3 Periode atau Tunda Pemilu Kah?\n#JokowiTakutDimakzulkan\n#JokowiTakutDi\xe2\x80\xa6'"
pejilat pantat jokowi,"b'RT @ZAEffendy: Kemarin: ""Jangan ada yang Adu Domba jelang Pemilu""\n\nSehari sebelumnya:\n(ke Relawan) ""... Dik\xc3\xa8nc\xc3\xa8ngin"" ?!\n\n#Nalar \xf0\x9f\x99\x84'"
Firman Budiana Pangestu,b'RT @republikaonline: PKS tegas menolak masa jabatan presiden tiga periode dan penundaan pemilu. https://t.co/eMOb0ZWtwU'
holy money,b'@irwanka Sepertinya PEMILU mau sekali putaran maka Prabowo - Ganjar Akan maju'
Ibe,b'RT @UyokBack: Kabar baiknya..\nJokowi sudah wanti-wanti jangan ada yang adu domba jelang pemilu.\n\nKabar buruknya..\nYang ngomong Jokowi.'
M O R 🤠 🇮🇩,"b'RT @aan_muba: Walau hanya survei tapi @PDI_Perjuangan tetap harus waspada.\n\n87,5% Pendukung Tetap Dukung Ganjar Nyapres Meski Tak Diusung P\xe2\x80\xa6'"
